## TICID  specnumax  specnumaxerr gaianumax  gaianumaxerr 
   141757230	   460.515833	   86.978019	   -9999.000000	   -9999.000000
   261205062	   34.982565	   2.960589	   48.516988	   86.198058
   261237169	   28.568755	   5.172468	   64.812074	   108.627320
   261239699	   116.609691	   15.028621	   165.786079	   284.496842
   261239622	   46.244994	   6.283482	   73.882756	   131.989151
   261204977	   2.059663	   0.276940	   1.830838	   2.789640
   261204944	   11.601221	   1.704534	   12.647984	   22.359445
   261204899	   29.924457	   2.502639	   49.136408	   85.329479
   261154684	   34.815797	   3.453687	   45.006815	   79.203071
   261154649	   34.701472	   3.813066	   47.704585	   77.600577
   261157133	   90.748684	   13.679701	   182.374578	   293.430445
   392013866	   32.422472	   2.791164	   27.371874	   49.301842
   261156979	   15.537288	   3.142890	   12.774672	   23.212630
   141527059	   21.392903	   3.074930	   35.932124	   63.902497
   370233978	   5.397350	   0.794515	   2.190299	   3.828471
   370233909	   9.242278	   1.242108	   12.683312	   20.001953
   364589098	   33.976492	   3.537962	   34.181959	   63.834907
   141436299	   195.786143	   27.224075	   325.880164	   548.833106
   261104875	   25.849651	   3.117458	   51.139280	   92.210910
   261104858	   30.921002	   2.539962	   54.262946	   93.100799
   261107108	   9.354582	   1.248111	   6.162829	   11.115406
   261107111	   86.392014	   12.846318	   162.188210	   260.810529
   261104798	   74.727301	   12.700079	   90.835222	   163.457353
   261087615	   1.978215	   0.281691	   1.322990	   2.589721
   261135736	   126.733348	   19.629715	   166.333720	   282.380790
   261135728	   84.044216	   12.751933	   89.816514	   162.111136
   261104762	   12.516651	   1.751023	   19.993783	   37.656095
   141413754	   32.182954	   2.029984	   55.109072	   83.344797
   141268008	   5.682540	   1.141831	   11.732552	   20.051295
   407632756	   2.048952	   0.287116	   2.187460	   4.112752
   407632829	   29.293320	   2.946020	   35.526310	   58.296518
   141333573	   281.772375	   50.966136	   1008.494266	   1747.207265
   141333605	   33.314681	   2.407042	   28.475839	   54.016986
   141333640	   4.547307	   0.654443	   4.113323	   7.777979
   141333668	   428.584850	   61.268735	   607.040960	   1090.997331
   141280602	   23.593031	   1.590411	   27.218284	   51.899055
   141280579	   214.289214	   32.912402	   458.473422	   761.847830
   141280802	   49.929408	   6.183846	   70.391533	   127.819401
   141280524	   72.277063	   9.049209	   71.775744	   157.186871
   141154045	   197.404280	   27.722051	   355.050935	   584.560607
   140857835	   24.379372	   2.093845	   38.323556	   67.759837
   140857867	   182.175604	   22.897859	   343.976264	   551.204979
   140827407	   171.811628	   24.806307	   278.212804	   537.044647
   140826872	   244.575386	   37.395469	   360.471777	   677.972263
   140826830	   2.068813	   0.255043	   3.058302	   5.098295
   140998873	   25.131727	   3.581875	   30.521444	   48.607693
   140998891	   57.147213	   7.236048	   64.209463	   112.118730
   140899345	   16.883966	   2.533854	   26.553020	   45.407171
   140967453	   150.404163	   19.990582	   210.862728	   377.782001
   140899552	   196.827694	   26.260291	   303.180260	   524.140008
   140857206	   34.850002	   3.225880	   38.920207	   67.304120
   140857994	   30.810495	   4.161205	   25.737657	   52.542332
   140858013	   29.714268	   2.273625	   49.024942	   89.279730
   140968328	   32.518853	   4.792802	   73.257172	   127.372773
   140946318	   65.063881	   9.656340	   5231.857158	   7904.807645
   140968402	   9.529532	   1.160702	   19.030444	   33.261080
   140899871	   50.068601	   5.055969	   42.838416	   76.800432
   140761482	   32.188280	   2.528857	   42.251077	   75.179833
   140761469	   195.009976	   24.002960	   230.658419	   420.205630
   140686997	   5.744772	   0.880325	   9.356492	   14.213236
   140664827	   8.617664	   1.295011	   3.615203	   5.846007
   140796760	   28.573830	   4.108178	   32.341322	   55.342965
   140796806	   8.732661	   1.239445	   9.799555	   16.723987
   140687100	   38.990404	   5.250141	   74.365462	   134.984715
   140687174	   43.087617	   5.512519	   69.428508	   112.350946
   364537715	   17.356928	   2.375877	   25.903651	   47.118976
   140608318	   28.655388	   3.716709	   43.521027	   78.679902
   364537768	   46.803264	   7.888882	   104.851262	   208.648779
   140664710	   150.818221	   21.275675	   224.470555	   413.029778
   140664647	   12.262364	   1.895152	   14.708729	   25.096487
   407621775	   7.121318	   0.950135	   10.910246	   20.088920
   140761294	   32.273600	   3.002925	   50.220197	   77.455303
   140826532	   52.745479	   8.296888	   93.257250	   174.151225
   140797073	   33.158198	   4.477878	   34.624112	   64.269868
   140761050	   4.610995	   0.577352	   4.693260	   8.877798
   140761039	   11.903596	   2.381892	   10.505997	   20.421604
   140691826	   85.475403	   13.232662	   124.246204	   205.907793
   140691839	   41.223819	   3.997235	   43.167299	   74.328860
   140687360	   4.506459	   0.637143	   2.725596	   4.639268
   140664297	   33.330828	   4.430391	   66.976172	   113.800840
   140687514	   375.204578	   41.362353	   883.340425	   1596.038206
   358174252	   38.853963	   5.219610	   52.919402	   112.506085
   261258022	   55.547707	   6.887190	   73.280547	   124.488580
   141627930	   64.078266	   9.001703	   107.962150	   180.378840
   141610491	   47.806879	   6.580108	   69.679733	   124.311791
   141610486	   59.040244	   6.680888	   37.921319	   69.324933
   141527168	   39.975954	   5.924327	   53.407007	   93.806420
   141610600	   6.597387	   0.832145	   7.805038	   13.856937
   141544297	   4.441005	   0.593600	   5.582347	   11.059166
   141527191	   32.714734	   4.972355	   22.058892	   38.963505
   141544251	   355.638799	   53.534180	   298.001273	   575.769290
   141527244	   424.208746	   66.654737	   509.931518	   845.495518
   141473876	   28.311817	   3.641149	   49.569322	   93.025934
   141473749	   238.686328	   29.348109	   237.319955	   401.925747
   141526993	   40.688533	   5.856117	   59.379130	   112.563299
