,KIC,Kpmag,numax,e_numax,Delnu,e_Delnu,Teff_x,e_Teff_x,log(g),e_log(g),[Fe/H],e_[Fe/H],Dist,E_Dist,e_Dist,luminosity_berger
15051,12118820,12.23,31.82,0.88,3.995,0.032,5160,162,2.426,0.013999999999999999,-0.07,0.3,2030.9460000000001,90.854,83.62,63.96731163411825
15052,12118897,13.93,33.26,0.83,4.157,0.034,5133,160,2.444,0.013999999999999999,-0.17,0.3,4565.014,354.51599999999996,308.144,67.28320675382757
15053,12119262,12.93,54.23,0.53,5.755,0.016,4925,144,2.648,0.009000000000000001,-0.47,0.3,2050.896,80.913,75.19800000000001,32.33502140144974
15054,12119739,12.85,191.93,0.99,15.725,0.032,5355,160,3.215,0.008,-0.29,0.3,1199.583,31.724,30.211,11.298638737429071
15055,12119770,13.04,31.43,0.49,4.104,0.055999999999999994,5203,168,2.423,0.011000000000000001,-0.04,0.3,3153.595,146.016,134.02200000000002,74.46047552034067
15056,12119864,12.64,46.3,0.88,4.73,0.024,4828,80,2.575,0.01,0.12,0.15,2635.4179999999997,157.974,141.482,63.920908831202496
15057,12119970,12.69,35.81,0.41,3.9930000000000003,0.015,4903,153,2.467,0.009000000000000001,0.21,0.3,2674.43,218.755,188.608,78.59828645727261
15058,12119979,11.85,47.45,1.39,4.8469999999999995,0.057,4845,80,2.5860000000000003,0.013999999999999999,0.12,0.15,1813.471,79.891,73.62,58.86483268300509
15059,12120144,12.14,14.62,0.31,2.1519999999999997,0.017,4654,80,2.066,0.011000000000000001,-0.34,0.15,2991.548,242.55599999999998,209.437,131.51313926444308
15060,12120230,10.99,50.27,0.71,5.294,0.011000000000000001,4916,100,2.614,0.009000000000000001,-0.34,0.15,979.312,29.34,27.756,40.67185863487687
15061,12120233,15.19,116.34,2.43,10.55,0.193,4961,144,2.9810000000000003,0.012,-0.45,0.3,4368.0740000000005,564.763,452.584,17.986811079871394
15062,12120327,10.07,33.99,0.7,4.041,0.040999999999999995,4914,100,2.444,0.011000000000000001,-0.1,0.15,840.2339999999999,32.633,30.358,68.0840772314397
15063,12120391,14.82,89.36,0.56,8.831,0.02,5103,153,2.872,0.008,-0.94,0.3,4236.707,459.728,380.07300000000004,22.100744591611328
15064,12120872,12.16,95.78,1.03,8.453,0.012,4993,100,2.898,0.008,-0.01,0.15,1283.167,36.539,34.663000000000004,24.277171595276222
15065,12120937,12.09,122.66,1.27,10.659,0.015,5328,155,3.0189999999999997,0.009000000000000001,-0.73,0.3,1255.705,34.806,33.067,23.080051341466813
15066,12121032,13.6,31.1,0.83,4.071000000000001,0.046,5113,160,2.414,0.013999999999999999,-0.15,0.3,4305.191,293.98900000000003,259.603,83.92554168736221
15067,12121044,13.28,32.58,0.42,4.043,0.034,5051,166,2.432,0.01,0.1,0.3,3236.0690000000004,168.696,153.221,66.13326675064015
