     TIC_ID            APOGEE_ID        GAIA_SOURCE_ID   APOGEE_TEFF   APOGEE_TEFF_ERR   APOGEE_LOGG   APOGEE_LOGG_ERR           GAIA_PARALLAX    GAIA_PARALLAX_ERROR        J   J_ERR        H   H_ERR        K   K_ERR              M_H          ALPHA_M   numax_COR   numax_err_COR   dnu_COR   dnu_err_COR   numax_BHM   numax_err_BHM    dnu_BHM   dnu_err_BHM   numax_A2Z   numax_err_A2Z   dnu_A2Z   dnu_err_A2Z  
  261104875   2M05324485-7818457   4623838993465537408      5010.082         107.08803     2.3330526       0.053641643      0.3883930405244744   0.018753118839589192   11.126   0.024   10.616   0.025   10.495   0.026      -0.68552154         0.219609       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  261104858   2M05323067-7816366   4623839337062919296      4689.847          83.40899      2.392445        0.03482054      1.2445363871572614    0.01816955962141827    8.944   0.024    8.298   0.047    8.131   0.026      -0.23901154         0.144659       28.42            0.62      2.83         0.028       27.78           1.545    2.80821      0.098204     -9999.0         -9999.0   -9999.0       -9999.0  
  261107108   2M05342824-7812375   4623840672796703488      4376.846          75.86038     1.8598543        0.05875097     0.20108008759667065   0.022048628114462235   10.647   0.024    9.943   0.022    9.773   0.019      -0.25347155         0.178629       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  261107111   2M05331137-7812554   4623841153833040768      4698.681          83.92168     2.8457654        0.06372495      0.8963481202958763   0.020270572942374103   10.669   0.027   10.086   0.022    9.927   0.019      -0.26990154         0.188479       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  261104798   2M05311539-7809426   4623853493275067776     4891.6323           90.3517     2.7890728        0.06860176      1.1654087850083643     0.0171135515498564     9.55   0.026    8.964   0.055    8.825   0.019      -0.35868156          0.05861       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  261087615   2M05275295-7802376   4623857307206014976     4001.5984         71.008514     1.1645688        0.06053102      0.1432244539891753   0.018942169514139077   10.174   0.026    9.375   0.025    9.138    0.03      -0.68745154       0.25257897       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  261135736   2M05370713-7811587   4623930837046107008     4918.3037           89.5893     3.0130553        0.06602299      1.1726410600114814    0.02080397023452675   10.081   0.024    9.561   0.024    9.403   0.023      -0.18861155         0.034691       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  261135728   2M05364207-7810385   4623931141987438208      4861.957           87.7912     2.8342087        0.06483225      0.8523919237587637   0.019703112962443464   10.232   0.026    9.624   0.022    9.458   0.019      -0.17522155      0.009558998       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  261104762   2M05323411-7805222   4623936059726307072     4389.1943         88.100815      1.991616       0.060030703      0.2589624359141549   0.013900693457345615   11.397   0.024   10.734   0.023   10.528   0.021      -0.46980155         0.234969       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  141413754   2M05370675-7753572   4623942205823185664      4556.439         75.411224     2.4052956       0.028035924      0.7666667644525712   0.016193773462762604    9.892   0.022    9.258   0.023    9.083   0.019       0.31512845         0.049327       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  141268008   2M05282673-7752011   4623953991213007744       4799.08         101.64624      1.665742       0.087948985     0.26562389677938525    0.01696037007717626   10.448   0.021     9.84   0.021    9.754    0.02       -1.4295615         0.108989       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  407632756   2M05285941-7751519   4623954751423930496     3985.0781          70.62363     1.1819756       0.060218893      0.3219708302689113   0.018367739102565568    8.958    0.02    8.118   0.024     7.87   0.042       -0.6823015       0.25802898       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  407632829   2M05290014-7738389   4623964406510392960     4824.1055         100.33119     2.3799412       0.042515066       0.419625159328091     0.0203885282927305   10.755   0.021   10.185   0.023   10.024   0.021      -0.40632156         0.161109       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  141333573   2M05351136-7742478   4623970552607334016      5247.873         120.68149     3.3803155       0.075254485       1.890386247942418   0.018814485297214283   10.705   0.024   10.301   0.023   10.208    0.02      -0.53918153        -0.060873       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  141333605   2M05341582-7737550   4623973305682678400      4649.422          80.69472      2.425377       0.031661656      0.4145739271162562   0.023704040006266584   10.569   0.021    9.968   0.023    9.813   0.021       0.18971846        -0.012169       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  141333640   2M05351373-7732373   4623979421716206592     4135.0786          72.58793     1.5387878        0.05965976      0.5535966901850062   0.027003009932309543    8.408   0.023    7.613   0.029    7.414   0.021      -0.51856154       0.22744898     -9999.0         -9999.0   -9999.0       -9999.0     -9999.0         -9999.0    -9999.0       -9999.0        3.25            0.23      0.54           0.5  
  141333668   2M05342608-7727395   4623981960040465536     4978.7544         102.36734     3.5474777        0.06034442      1.5058871924610033    0.02057506215568519   10.858   0.023   10.364   0.025   10.236   0.021      0.045234453   -0.00057800114       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  141280602   2M05311953-7734581   4623985022353431040      4547.352          77.76227     2.2729511       0.029066198      0.6823323348753778   0.025072534475195533    9.545   0.025    8.927   0.025    8.762   0.022      -0.00565175         0.089179       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
  141280579   2M05314665-7729338   4623987049577991808     4373.2104          98.07841     3.2178597        0.06338494       1.264799011734847   0.022623773078820946   10.903   0.025    10.38   0.025   10.269   0.021        -0.778689        -0.062505       1e+20           1e+20     1e+20         1e+20       1e+20           1e+20      1e+20         1e+20       1e+20           1e+20     1e+20         1e+20  
